region_id,short_tip,med_tip,long_tip,max_tip,max_bin,is_statistically_significant,has_rejected_null_hyp,PULocationID,Borough,Zone,service_zone
158,2.696392127823784,6.83991786549853,14.243358050847457,14.243358050847457,long,True,True,158,Manhattan,Meatpacking/West Village West,Yellow Zone
124,2.517177615571776,2.2737961595273264,6.507701149425287,6.507701149425287,long,True,True,124,Queens,Howard Beach,Boro Zone
186,2.8386759618512896,6.750911852096401,13.132384378211716,13.132384378211716,long,False,False,186,Manhattan,Penn Station/Madison Sq West,Yellow Zone
145,3.6494590085795995,5.120105066542143,8.630952380952381,8.630952380952381,long,False,False,145,Queens,Long Island City/Hunters Point,Boro Zone
113,2.649745350838705,6.8390461637445705,13.75834319526627,13.75834319526627,long,True,True,113,Manhattan,Greenwich Village North,Yellow Zone
13,3.004768406816338,6.1397530803107525,12.881076405574245,12.881076405574245,long,True,True,13,Manhattan,Battery Park City,Yellow Zone
211,2.6361068932235794,6.220716035060583,11.333115384615384,11.333115384615384,long,True,True,211,Manhattan,SoHo,Yellow Zone
166,2.3108892327704145,5.340209819264594,14.756942148760333,14.756942148760333,long,True,True,166,Manhattan,Morningside Heights,Boro Zone
233,2.4536624502711732,7.492164713437149,13.580685082872929,13.580685082872929,long,True,True,233,Manhattan,UN/Turtle Bay South,Yellow Zone
70,2.360079556412729,8.687928282230652,14.635947368421052,14.635947368421052,long,True,True,70,Queens,East Elmhurst,Boro Zone
61,0.3777303754266212,1.3863578613022762,2.1703571428571427,2.1703571428571427,long,False,False,61,Brooklyn,Crown Heights North,Boro Zone
209,2.7601711264220476,5.340417255485311,13.038347826086957,13.038347826086957,long,True,True,209,Manhattan,Seaport,Yellow Zone
88,2.782372071030787,4.908067414004914,11.292568542568542,11.292568542568542,long,True,True,88,Manhattan,Financial District South,Yellow Zone
261,2.8354979603901858,5.991093844537145,11.445230485556237,11.445230485556237,long,True,True,261,Manhattan,World Trade Center,Yellow Zone
29,0.18117845117845116,0.24018154311649015,2.144117647058824,2.144117647058824,long,False,False,29,Brooklyn,Brighton Beach,Boro Zone
12,2.5771426008968614,4.514943010002327,11.366621621621624,11.366621621621624,long,True,True,12,Manhattan,Battery Park,Yellow Zone
116,1.1653807589247125,2.8333465204099983,10.500256410256409,10.500256410256409,long,True,True,116,Manhattan,Hamilton Heights,Boro Zone
75,1.8386033393501806,3.781081711584505,6.4455660377358495,6.4455660377358495,long,False,False,75,Manhattan,East Harlem South,Boro Zone
26,0.11930412371134021,0.49075503355704697,0.23419354838709677,0.49075503355704697,medium,False,False,26,Brooklyn,Borough Park,Boro Zone
181,1.652515975899215,3.3552493990384615,5.786222222222222,5.786222222222222,long,False,False,181,Brooklyn,Park Slope,Boro Zone
232,2.24584652760325,3.9018491245295364,7.542241379310345,7.542241379310345,long,False,False,232,Manhattan,Two Bridges/Seward Park,Yellow Zone
85,0.14743902439024392,0.6914939434724091,0.25708333333333333,0.6914939434724091,medium,False,False,85,Brooklyn,Erasmus,Boro Zone
152,1.3124868835257084,2.9010118531367444,9.219843749999999,9.219843749999999,long,True,True,152,Manhattan,Manhattanville,Boro Zone
130,0.6347198538367844,4.549351223827779,9.314935064935066,9.314935064935066,long,True,True,130,Queens,Jamaica,Boro Zone
74,1.2961814898001713,2.515769278223319,8.194720000000002,8.194720000000002,long,False,False,74,Manhattan,East Harlem North,Boro Zone
193,1.3748728382502544,1.9274107959743823,2.469705882352941,2.469705882352941,long,True,True,193,Queens,Queensbridge/Ravenswood,Boro Zone
226,2.2633461327482176,4.976737928492444,10.64925925925926,10.64925925925926,long,False,False,226,Queens,Sunnyside,Boro Zone
