region_id,short_tip_percent,med_tip_percent,long_tip_percent,max_tip_percent,max_bin,is_statistically_significant,has_rejected_null_hyp,DOLocationID,Borough,Zone,service_zone
37,0.04841171861420415,0.053886423214242,0.06505419530541588,0.06505419530541588,long,False,False,37,Brooklyn,Bushwick South,Boro Zone
158,0.19841558321197242,inf,0.1781655797351213,inf,medium,False,False,158,Manhattan,Meatpacking/West Village West,Yellow Zone
80,0.10655656910673916,0.07967241346813521,0.04324162678913149,0.10655656910673916,short,False,False,80,Brooklyn,East Williamsburg,Boro Zone
68,inf,inf,0.12719380608106332,inf,short,True,True,68,Manhattan,East Chelsea,Yellow Zone
41,0.11485319046529356,0.08912459080730405,0.09859058023784056,0.11485319046529356,short,False,False,41,Manhattan,Central Harlem,Boro Zone
61,0.027662852614584725,0.03313758523757724,0.029091956712964724,0.03313758523757724,medium,False,False,61,Brooklyn,Crown Heights North,Boro Zone
43,0.20521022445005144,0.16541432952758686,0.15698183040513686,0.20521022445005144,short,False,False,43,Manhattan,Central Park,Yellow Zone
90,inf,0.2972919355993046,0.13684829346094157,inf,short,False,False,90,Manhattan,Flatiron,Yellow Zone
229,0.2098342133638811,0.16495773801319483,0.15532373613940892,0.2098342133638811,short,True,True,229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone
260,0.0644136391579785,0.08989965299922673,0.06688396662286702,0.08989965299922673,medium,False,False,260,Queens,Woodside,Boro Zone
168,inf,0.03161151864202161,0.03412835245986396,inf,short,False,False,168,Bronx,Mott Haven/Port Morris,Boro Zone
124,0.04036269934895429,0.04539000293570079,0.06927290948577124,0.06927290948577124,long,True,True,124,Queens,Howard Beach,Boro Zone
148,0.21062609086790934,inf,0.13428983596770314,inf,medium,True,True,148,Manhattan,Lower East Side,Yellow Zone
24,0.17895923078713272,0.14489036900278957,0.17408081608884118,0.17895923078713272,short,False,False,24,Manhattan,Bloomingdale,Yellow Zone
211,0.1970138397967603,0.15797887296634475,0.1366445756440783,0.1970138397967603,short,True,True,211,Manhattan,SoHo,Yellow Zone
50,inf,0.12892882809713202,0.09407016572820161,inf,short,True,True,50,Manhattan,Clinton West,Yellow Zone
1,inf,0.3586253854741307,0.13807425540718926,inf,short,False,False,1,EWR,Newark Airport,EWR
146,0.11527309053893482,0.07816401295092787,0.10531591540997465,0.11527309053893482,short,False,False,146,Queens,Long Island City/Queens Plaza,Boro Zone
49,0.776773088450473,0.06054779467749946,0.038363197277241134,0.776773088450473,short,False,False,49,Brooklyn,Clinton Hill,Boro Zone
107,inf,inf,0.14171833333868702,inf,short,False,False,107,Manhattan,Gramercy,Yellow Zone
126,0.009372329862732532,0.008469553926095809,0.01164795918367347,0.01164795918367347,long,False,False,126,Bronx,Hunts Point,Boro Zone
125,0.21128579893470717,0.16507436794654592,0.1549890871535748,0.21128579893470717,short,False,False,125,Manhattan,Hudson Sq,Yellow Zone
66,inf,0.09131967540202209,0.0882057682904874,inf,short,False,False,66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone
143,inf,0.14546127071889997,0.17066154582669807,inf,short,False,False,143,Manhattan,Lincoln Square West,Yellow Zone
255,0.11313641132571545,0.08891289843910923,0.09084255860718794,0.11313641132571545,short,False,False,255,Brooklyn,Williamsburg (North Side),Boro Zone
138,0.17752765939210705,0.20892162476797418,inf,inf,long,True,True,138,Queens,LaGuardia Airport,Airports
186,0.20085098376111526,0.15841072736444292,0.11099298685767169,0.20085098376111526,short,False,False,186,Manhattan,Penn Station/Madison Sq West,Yellow Zone
33,0.1737811666935611,0.11102417070388004,0.09039449027790353,0.1737811666935611,short,False,False,33,Brooklyn,Brooklyn Heights,Boro Zone
95,0.046883598341302714,0.039945271361740385,0.04996328787005614,0.04996328787005614,long,False,False,95,Queens,Forest Hills,Boro Zone
249,inf,0.16644327802654657,0.1507270508700491,inf,short,False,False,249,Manhattan,West Village,Yellow Zone
7,0.07740910975647439,0.05279823660698314,0.05170233195586681,0.07740910975647439,short,False,False,7,Queens,Astoria,Boro Zone
25,0.13131363773071766,0.08000424926713973,0.047163110531225065,0.13131363773071766,short,False,False,25,Brooklyn,Boerum Hill,Boro Zone
16,0.019087260391363745,0.016309280911572518,0.08571389604514756,0.08571389604514756,long,True,True,16,Queens,Bayside,Boro Zone
97,0.1085614012758032,0.07335132684783731,0.06307114600284985,0.1085614012758032,short,True,True,97,Brooklyn,Fort Greene,Boro Zone
181,0.11081385480385764,0.08163831243360896,0.0749234510877133,0.11081385480385764,short,False,False,181,Brooklyn,Park Slope,Boro Zone
243,0.057750503351886244,0.06696801903717713,0.15009482062209406,0.15009482062209406,long,False,False,243,Manhattan,Washington Heights North,Boro Zone
130,0.021535164257794934,0.0699152539316206,0.06979999137176933,0.0699152539316206,medium,True,True,130,Queens,Jamaica,Boro Zone
256,0.11293087911509121,0.0860409916765071,0.12330021039454249,0.12330021039454249,long,False,False,256,Brooklyn,Williamsburg (South Side),Boro Zone
52,0.1541868155634599,0.12999770741973685,0.13407305137569123,0.1541868155634599,short,False,False,52,Brooklyn,Cobble Hill,Boro Zone
179,0.07080163751804484,0.05169280184165772,0.04641188084963357,0.07080163751804484,short,False,False,179,Queens,Old Astoria,Boro Zone
40,0.13778635875738174,0.09912581554229481,0.13693157204587472,0.13778635875738174,short,False,False,40,Brooklyn,Carroll Gardens,Boro Zone
26,0.007963115942505783,0.010383949482276063,0.0026248996680911987,0.010383949482276063,medium,False,False,26,Brooklyn,Borough Park,Boro Zone
116,0.08338673100719607,0.07971066220601548,0.13364170331933453,0.13364170331933453,long,False,False,116,Manhattan,Hamilton Heights,Boro Zone
72,0.0029037748992449246,0.003659396530884433,0.004564492463652127,0.004564492463652127,long,False,False,72,Brooklyn,East Flatbush/Remsen Village,Boro Zone
220,0.0397561661525825,0.036942883348786974,0.03871488722655912,0.0397561661525825,short,False,False,220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone
55,0.00931287048905941,0.0052832508749417325,0.0037167869938579783,0.00931287048905941,short,False,False,55,Brooklyn,Coney Island,Boro Zone
